scorer,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK
bodyparts,body_center,body_center,body_left,body_left,body_right,body_right,eye_left,eye_left,eye_right,eye_right,neck_center,neck_center,snout,snout,tail_stem,tail_stem,tail_tip,tail_tip
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/COD_exposure1B_rats5to8_RAT5/img01179.png,312.0,187.0,325.0,198.0,296.0,180.0,303.0,238.0,292.0,236.0,301.0,221.0,296.0,246.0,349.0,161.0,417.0,209.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img01216.png,288.0,225.0,304.0,225.0,273.0,215.0,288.0,273.0,279.0,273.0,284.0,264.0,287.0,280.0,313.0,175.0,397.0,165.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img01413.png,349.0,383.0,339.0,370.0,357.0,399.0,383.0,347.0,391.0,354.0,380.0,357.0,397.0,340.0,301.0,412.0,231.0,364.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img01506.png,404.0,374.0,395.0,360.0,413.0,389.0,439.0,331.0,445.0,336.0,436.0,344.0,450.0,324.0,355.0,399.0,274.0,365.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img01567.png,428.0,326.0,411.0,326.0,445.0,325.0,,,,,421.0,279.0,413.0,263.0,423.0,375.0,347.0,417.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img01647.png,426.0,308.0,409.0,313.0,440.0,300.0,399.0,268.0,407.0,262.0,410.0,274.0,397.0,259.0,438.0,353.0,387.0,424.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img02192.png,357.0,116.0,359.0,131.0,358.0,99.0,,,,,308.0,121.0,289.0,124.0,408.0,124.0,459.0,187.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img02327.png,204.0,307.0,215.0,295.0,192.0,320.0,,,,,245.0,323.0,264.0,327.0,178.0,261.0,206.0,178.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img02667.png,418.0,136.0,429.0,122.0,408.0,148.0,440.0,174.0,430.0,177.0,433.0,165.0,436.0,187.0,372.0,110.0,285.0,111.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img02760.png,412.0,141.0,427.0,130.0,396.0,147.0,,,,,425.0,168.0,436.0,186.0,372.0,109.0,276.0,111.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img03116.png,369.0,424.0,369.0,441.0,365.0,407.0,,,,,324.0,430.0,304.0,430.0,420.0,416.0,479.0,354.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img03132.png,321.0,425.0,317.0,440.0,324.0,408.0,,,,,280.0,418.0,257.0,423.0,375.0,429.0,451.0,401.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img03301.png,222.0,326.0,208.0,314.0,237.0,334.0,,,,,256.0,301.0,275.0,295.0,216.0,374.0,277.0,414.0
labeled-data/COD_exposure1B_rats5to8_RAT5/img03408.png,245.0,159.0,236.0,145.0,255.0,172.0,274.0,117.0,283.0,123.0,272.0,129.0,286.0,109.0,208.0,195.0,198.0,273.0
