scorer,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK
bodyparts,body_center,body_center,body_left,body_left,body_right,body_right,eye_left,eye_left,eye_right,eye_right,neck_center,neck_center,snout,snout,tail_stem,tail_stem,tail_tip,tail_tip
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/COD_exposure_1A_rats17and19_RAT17/img00664.png,,,,,,,377.0,545.0,,,374.0,589.0,389.0,540.0,276.0,580.0,170.0,409.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img00759.png,,,,,296.0,714.0,222.0,631.0,248.0,630.0,234.0,674.0,238.0,606.0,,,391.0,659.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img00834.png,249.0,705.0,201.0,703.0,289.0,702.0,222.0,574.0,247.0,567.0,238.0,607.0,233.0,540.0,,,,
labeled-data/COD_exposure_1A_rats17and19_RAT17/img01240.png,,,,,,,525.0,718.0,,,,,549.0,709.0,,,,
labeled-data/COD_exposure_1A_rats17and19_RAT17/img01456.png,224.0,575.0,190.0,574.0,276.0,577.0,220.0,424.0,242.0,427.0,227.0,465.0,234.0,397.0,265.0,701.0,,
labeled-data/COD_exposure_1A_rats17and19_RAT17/img01489.png,229.0,224.0,187.0,205.0,269.0,221.0,284.0,89.0,301.0,108.0,262.0,119.0,308.0,86.0,250.0,351.0,346.0,552.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img01625.png,,,,,,,,,321.0,47.0,368.0,53.0,307.0,57.0,,,262.0,77.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img01696.png,220.0,57.0,270.0,70.0,179.0,50.0,254.0,189.0,229.0,196.0,229.0,148.0,253.0,220.0,,,,
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02007.png,,,,,,,,,,,,,,,240.0,67.0,292.0,131.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02113.png,252.0,5.0,303.0,7.0,201.0,7.0,287.0,136.0,261.0,142.0,263.0,94.0,281.0,167.0,,,200.0,158.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02178.png,220.0,203.0,264.0,209.0,182.0,207.0,253.0,340.0,226.0,345.0,232.0,288.0,243.0,363.0,236.0,69.0,196.0,67.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02400.png,,,,,,,445.0,700.0,462.0,718.0,,,472.0,692.0,227.0,719.0,202.0,507.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02410.png,,,,,,,318.0,661.0,341.0,656.0,,,328.0,637.0,,,190.0,550.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02666.png,276.0,543.0,243.0,524.0,313.0,561.0,369.0,441.0,384.0,461.0,342.0,476.0,396.0,437.0,250.0,668.0,,
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02776.png,238.0,326.0,201.0,332.0,283.0,320.0,203.0,194.0,229.0,191.0,219.0,232.0,211.0,168.0,280.0,466.0,460.0,564.0
labeled-data/COD_exposure_1A_rats17and19_RAT17/img02808.png,,,,,,,,,370.0,2.0,,,,,210.0,90.0,285.0,294.0
