scorer,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK
bodyparts,body_center,body_center,body_left,body_left,body_right,body_right,eye_left,eye_left,eye_right,eye_right,neck_center,neck_center,snout,snout,tail_stem,tail_stem,tail_tip,tail_tip
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0416.png,193.0,137.0,186.0,129.0,206.0,144.0,,,220.0,106.0,211.0,114.0,224.0,98.0,182.0,168.0,203.0,216.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0442.png,203.0,101.0,192.0,95.0,213.0,106.0,,,227.0,71.0,218.0,75.0,230.0,63.0,191.0,139.0,215.0,189.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0587.png,229.0,61.0,237.0,55.0,224.0,73.0,,,252.0,94.0,250.0,81.0,257.0,96.0,198.0,46.0,189.0,96.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0705.png,203.0,80.0,216.0,86.0,194.0,81.0,203.0,118.0,195.0,118.0,200.0,107.0,202.0,131.0,201.0,46.0,173.0,76.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0725.png,190.0,115.0,203.0,117.0,180.0,115.0,,,,,191.0,142.0,199.0,159.0,192.0,78.0,174.0,82.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0778.png,200.0,262.0,210.0,266.0,190.0,260.0,,,,,194.0,288.0,190.0,301.0,206.0,227.0,185.0,165.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0843.png,223.0,262.0,223.0,250.0,224.0,274.0,257.0,246.0,260.0,253.0,251.0,254.0,266.0,245.0,193.0,253.0,186.0,191.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0863.png,254.0,234.0,247.0,228.0,264.0,240.0,270.0,199.0,275.0,201.0,269.0,212.0,276.0,193.0,232.0,258.0,193.0,221.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0896.png,284.0,109.0,273.0,108.0,294.0,111.0,,,,,288.0,77.0,287.0,60.0,276.0,150.0,260.0,202.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img0964.png,428.0,136.0,439.0,138.0,416.0,136.0,,,413.0,172.0,423.0,162.0,413.0,177.0,426.0,104.0,385.0,69.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img1060.png,380.0,260.0,382.0,271.0,374.0,252.0,341.0,272.0,340.0,264.0,352.0,268.0,333.0,268.0,403.0,238.0,405.0,190.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img1084.png,277.0,286.0,276.0,295.0,278.0,275.0,237.0,292.0,237.0,285.0,248.0,288.0,232.0,287.0,311.0,283.0,352.0,258.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img1111.png,228.0,282.0,221.0,289.0,233.0,273.0,201.0,257.0,206.0,254.0,211.0,265.0,197.0,248.0,263.0,289.0,312.0,269.0
labeled-data/PreIrrPlaceTest_rats17-20_RAT17/img1137.png,227.0,280.0,213.0,276.0,239.0,274.0,,,241.0,252.0,230.0,259.0,244.0,246.0,247.0,300.0,287.0,295.0
