scorer,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK
bodyparts,body_center,body_center,body_left,body_left,body_right,body_right,eye_left,eye_left,eye_right,eye_right,neck_center,neck_center,snout,snout,tail_stem,tail_stem,tail_tip,tail_tip
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Rat35_COD4_testA_cut/img002374.png,183.0,83.0,203.0,95.0,172.0,76.0,,,,,167.0,121.0,158.0,147.0,226.0,52.0,308.0,107.0
labeled-data/Rat35_COD4_testA_cut/img003983.png,212.0,252.0,229.0,247.0,195.0,258.0,,,,,234.0,289.0,252.0,319.0,196.0,198.0,198.0,99.0
labeled-data/Rat35_COD4_testA_cut/img007865.png,393.0,283.0,392.0,266.0,396.0,301.0,,,465.0,286.0,438.0,283.0,474.0,284.0,347.0,290.0,244.0,285.0
labeled-data/Rat35_COD4_testA_cut/img008368.png,452.0,292.0,453.0,274.0,451.0,311.0,,,523.0,305.0,496.0,300.0,535.0,301.0,403.0,294.0,309.0,297.0
labeled-data/Rat35_COD4_testA_cut/img009263.png,488.0,321.0,501.0,310.0,469.0,330.0,,,,,501.0,365.0,505.0,398.0,459.0,291.0,378.0,256.0
labeled-data/Rat35_COD4_testA_cut/img014566.png,172.0,321.0,156.0,338.0,175.0,304.0,134.0,325.0,131.0,313.0,157.0,313.0,119.0,324.0,193.0,344.0,290.0,358.0
labeled-data/Rat35_COD4_testA_cut/img017652.png,189.0,237.0,174.0,225.0,210.0,237.0,,,,,190.0,201.0,176.0,172.0,177.0,283.0,223.0,363.0
labeled-data/Rat35_COD4_testA_cut/img018995.png,297.0,153.0,285.0,139.0,309.0,163.0,,,,,318.0,126.0,340.0,93.0,261.0,194.0,221.0,290.0
labeled-data/Rat35_COD4_testA_cut/img024320.png,203.0,28.0,202.0,52.0,197.0,9.0,,,,,167.0,47.0,150.0,75.0,244.0,30.0,323.0,85.0
labeled-data/Rat35_COD4_testA_cut/img027476.png,364.0,57.0,367.0,38.0,359.0,76.0,,,426.0,87.0,402.0,67.0,441.0,91.0,319.0,57.0,229.0,12.0
labeled-data/Rat35_COD4_testA_cut/img030571.png,514.0,333.0,526.0,347.0,496.0,327.0,493.0,389.0,482.0,385.0,496.0,359.0,484.0,399.0,525.0,289.0,530.0,184.0
labeled-data/Rat35_COD4_testA_cut/img031454.png,503.0,348.0,521.0,348.0,486.0,356.0,544.0,380.0,536.0,389.0,515.0,368.0,552.0,394.0,504.0,312.0,509.0,209.0
labeled-data/Rat35_COD4_testA_cut/img033119.png,496.0,330.0,503.0,306.0,499.0,348.0,514.0,290.0,523.0,292.0,519.0,319.0,518.0,278.0,493.0,299.0,478.0,242.0
labeled-data/Rat35_COD4_testA_cut/img033678.png,511.0,310.0,495.0,290.0,516.0,335.0,,,,,521.0,281.0,522.0,249.0,474.0,305.0,482.0,235.0
labeled-data/Rat35_COD4_testA_cut/img037280.png,393.0,139.0,378.0,147.0,401.0,124.0,342.0,103.0,347.0,96.0,366.0,115.0,334.0,94.0,420.0,190.0,434.0,284.0
