scorer,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK,LK
bodyparts,body_center,body_center,body_left,body_left,body_right,body_right,eye_left,eye_left,eye_right,eye_right,neck_center,neck_center,snout,snout,tail_stem,tail_stem,tail_tip,tail_tip
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img02164.png,375.0,316.0,344.0,314.0,405.0,319.0,,,,,368.0,247.0,330.0,223.0,375.0,389.0,458.0,526.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img02682.png,359.0,293.0,361.0,270.0,,,461.0,263.0,466.0,281.0,433.0,284.0,487.0,265.0,293.0,324.0,340.0,478.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img03119.png,843.0,587.0,840.0,615.0,844.0,557.0,,,,,773.0,578.0,720.0,597.0,916.0,578.0,886.0,412.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img03406.png,879.0,227.0,865.0,265.0,884.0,196.0,773.0,261.0,,,817.0,232.0,751.0,257.0,928.0,254.0,,
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img03510.png,603.0,254.0,599.0,289.0,604.0,231.0,475.0,268.0,,,525.0,257.0,453.0,260.0,680.0,262.0,870.0,267.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img03529.png,494.0,259.0,494.0,293.0,489.0,233.0,391.0,307.0,387.0,288.0,440.0,280.0,366.0,302.0,575.0,256.0,764.0,277.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img03881.png,319.0,323.0,361.0,339.0,291.0,334.0,,,,,313.0,366.0,338.0,414.0,341.0,270.0,487.0,209.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img04360.png,311.0,317.0,357.0,333.0,283.0,333.0,,,,,316.0,354.0,334.0,403.0,341.0,270.0,488.0,203.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img04992.png,310.0,308.0,321.0,271.0,317.0,348.0,399.0,270.0,404.0,288.0,362.0,301.0,423.0,270.0,269.0,288.0,416.0,227.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img05185.png,301.0,392.0,336.0,405.0,273.0,400.0,342.0,506.0,,,312.0,458.0,342.0,529.0,308.0,328.0,418.0,281.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img05708.png,906.0,654.0,877.0,691.0,919.0,620.0,809.0,654.0,806.0,635.0,859.0,634.0,785.0,650.0,927.0,704.0,783.0,773.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img05889.png,392.0,265.0,389.0,300.0,380.0,244.0,277.0,304.0,274.0,283.0,329.0,281.0,253.0,297.0,464.0,257.0,645.0,287.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img07077.png,658.0,808.0,700.0,805.0,641.0,830.0,722.0,899.0,702.0,907.0,691.0,855.0,721.0,924.0,618.0,765.0,462.0,681.0
labeled-data/TIM18SDM018_ACAC_1_alkuosa/img07190.png,646.0,787.0,669.0,750.0,635.0,818.0,755.0,812.0,,,703.0,814.0,774.0,820.0,597.0,747.0,552.0,756.0
